,Timestamp,Gender,Age,District,Job,Education,MaritalStatus,MonthlySalary,MobilePhone,BankAccounts,AwareOfMobileBankingApps,Place,MobileBanking,Reasons,TransactionFrequency,TransactionMethods,FullyAwareOfMobileBanking,PreferOtherMethods,NotComfortableWithNewTech,NotSatisfiedWithUI,LanguageProblems,NetworkConnectivityTrust,SecurityRisks,MobileServiceProviderPoorPerformance,Motivations,,,,,,,,,,,,,,,,,,,,,,,,
14,2020/11/29 9:17:08 AM GMT+5:30,Female,23,Anuradhapura,Private Sector,A / L,Unmarried,"10, 000 – 30, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",Yes,,Monthly - Once,ATM (Automatic Teller Machine),Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
15,2020/11/29 9:20:19 AM GMT+5:30,Female,23,Polonnaruwa,Government Sector,Diploma,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,Yes,I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Neutral,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
16,2020/11/29 9:40:52 AM GMT+5:30,Female,23,Ratnapura,Unemployed,A / L,Unmarried,"Above 100, 001",Yes,Yes,No,Bank directly,No,Transactional risk,Monthly - Several times,ATM (Automatic Teller Machine),Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
17,2020/11/29 10:06:18 AM GMT+5:30,Female,24,Anuradhapura,Unemployed,A / L,Unmarried,"10, 000 – 30, 000",Yes,Yes,No,,No,I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
18,2020/11/29 10:25:11 AM GMT+5:30,Female,18,Ratnapura,Unemployed,O / L,Unmarried,"Below 10, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Daily - once,At Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2020/11/29 10:48:00 AM GMT+5:30,Female,24,Anuradhapura,Self-employed,A / L,Unmarried,"10, 000 – 30, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Monthly - Once,ATM (Automatic Teller Machine),Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
20,2020/11/29 11:19:53 AM GMT+5:30,Male,24,Anuradhapura,Government Sector,Diploma,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,Yes,,Weekly - Once,Online (Internet),Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
21,2020/11/29 12:36:25 PM GMT+5:30,Female,25,Anuradhapura,Government Sector,A / L,Unmarried,"30, 001 – 60, 000",Yes,Yes,No,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Monthly - Several times,Online (Internet),Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
22,2020/11/29 6:54:06 PM GMT+5:30,Female,24,Anuradhapura,Government Sector,Diploma,Unmarried,"10, 000 – 30, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Monthly - Once,At Bank,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
23,2020/11/29 7:03:50 PM GMT+5:30,Male,25,Trincomalee,Government Sector,Diploma,Unmarried,"30, 001 – 60, 000",Yes,Yes,No,Friends or Family,No,I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
24,2020/11/30 11:24:03 AM GMT+5:30,Female,26,Kegalle,Unemployed,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,No,Transactional risk,Monthly - Once,ATM (Automatic Teller Machine),Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
25,2020/11/30 12:11:13 PM GMT+5:30,Female,24,Anuradhapura,Government Sector,Diploma,Unmarried,"10, 000 – 30, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,Monthly - Once,At Bank,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
26,2020/11/30 3:12:14 PM GMT+5:30,Female,27,Galle,Private Sector,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,No,My phone does not support it,Monthly - Once,ATM (Automatic Teller Machine),Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
